speaker,year,gender,conservative,innovative,total,feature,ratio
avm1922,1922,f,57,78,135,a-e,0.4222222222222222
ans1925,1925,f,80,135,215,a-e,0.37209302325581395
avt1928,1928,f,1,51,52,a-e,0.019230769230769232
egp1928,1928,f,15,141,156,a-e,0.09615384615384616
lpp1928,1928,f,5,24,29,a-e,0.1724137931034483
pfp1928,1928,f,66,99,165,a-e,0.4
sek1930,1930,m,48,53,101,a-e,0.4752475247524752
mdn1933,1933,f,33,43,76,a-e,0.4342105263157895
opsh1935,1935,f,20,79,99,a-e,0.20202020202020202
lso1941,1941,f,134,110,244,a-e,0.5491803278688525
lgp1947,1947,f,18,180,198,a-e,0.09090909090909091
gvp1949,1949,f,4,32,36,a-e,0.1111111111111111
mgb1949,1949,f,13,91,104,a-e,0.125
iip1951,1951,m,12,45,57,a-e,0.21052631578947367
ffp1952,1952,m,0,23,23,a-e,0
njae1952,1952,m,3,7,10,a-e,0.3
nvt1952,1952,m,8,102,110,a-e,0.07272727272727272
ofsh1952,1952,f,17,50,67,a-e,0.2537313432835821
ait1954,1954,f,19,53,72,a-e,0.2638888888888889
npo1954,1954,m,9,30,39,a-e,0.23076923076923078
ppp1955,1955,m,10,17,27,a-e,0.37037037037037035
ipm1956,1956,m,7,47,54,a-e,0.12962962962962962
ndo1958,1958,f,5,45,50,a-e,0.1
nnt1960,1960,f,0,118,118,a-e,0
nfm1961,1961,f,0,4,4,a-e,0
vap1963,1963,f,1,31,32,a-e,0.03125
npo1965,1965,m,1,13,14,a-e,0.07142857142857142
vkch1966,1966,m,14,66,80,a-e,0.175
ent1968,1968,f,0,41,41,a-e,0
juap1969,1969,m,0,16,16,a-e,0
nap1974,1974,f,0,29,29,a-e,0
svp1975,1975,m,0,87,87,a-e,0
vsp1996,1996,f,0,15,15,a-e,0
